Tahun,pengguna_internet,Jumlah Pengangguran
1990,0,4626042
1991,0,4836308
1992,0,5144070
1993,0,5324748
1994,205503,8454801
1995,59080,0
1996,119941,9735190
1997,385370,9512560
1998,534884,11232563
1999,917907,13267925
2000,1967079,12860040
2001,4331434,17368621
2002,4629721,19692616
2003,5265396,21303926
2004,5805427,22015967
2005,8146421,25434936
2006,10915549,23573917
2007,13454468,21169293
2008,18649205,19755912
2009,16512542,18779438
2010,26408297,17266964
2011,29717600,18101600
2012,35632080,15043020
2013,37170720,15350960
2014,43227080,14980680
2015,56099516,15795332
2016,65443231,11968388
2017,84425719,11943946
2018,105289213,14000565
2019,127094423,13959492
2020,196688761,19060960
