Tahun,Jumlah_Penduduk,Pengguna_Internet,Pengguna_Internet_Percent
1990,181413398,0,0%
1991,184591897,0,0%
1992,187739786,0,0%
1993,190851184,0,0%
1994,193917458,205503,0%
1995,196934257,59080,0%
1996,199901231,119941,0%
1997,202826444,385370,0%
1998,205724597,534884,0%
1999,208615171,917907,0%
2000,211513822,1967079,1%
2001,214427419,4331434,2%
2002,217357790,4629721,2%
2003,220309473,5265396,2%
2004,223285666,5805427,3%
2005,226289468,8146421,4%
2006,229318262,10915549,5%
2007,232374239,13454468,6%
2008,235469755,18649205,8%
2009,238620554,16512542,7%
2010,241834226,26408297,11%
2011,242000000,29717600,12.28%
2012,245400000,35632080,14.52%
2013,248800000,37170720,14.94%
2014,252200000,43227080,17.14%
2015,255587900,56099516,21.95%
2016,258496500,65443231,25.32%
2017,261355500,84425719,32.30%
2018,264161600,105289213,39.86%
2019,266911900,127094423,47.62%
2020,269603400,196688761,72.95%
